"problem","model","data_file","configuration","status","time","run","objective"
"qcp_max","data/qcp_max/qcp_max_redef.mzn","data/qcp_max/qcp-20-187-14.dzn","Chuffed","","56.32","qcp_max","40"
"qcp_max","data/qcp_max/qcp_max_imp.mzn","data/qcp_max/qcp-10-67-4.dzn","Chuffed","","0.15","qcp_max","20"
"qcp_max","data/qcp_max/qcp_max_redef.mzn","data/qcp_max/qcp-10-67-12.dzn","Chuffed","","0.28","qcp_max","18"
"qcp_max","data/qcp_max/qcp_max_redef.mzn","data/qcp_max/qcp-10-67-10.dzn","Chuffed","","0.19","qcp_max","20"
"qcp_max","data/qcp_max/qcp_max_imp.mzn","data/qcp_max/qcp-25-264-7.dzn","Chuffed","","58.44","qcp_max","50"
"qcp_max","data/qcp_max/qcp_max_imp.mzn","data/qcp_max/qcp-15-120-11.dzn","Chuffed","","0.18","qcp_max","30"
"qcp_max","data/qcp_max/qcp_max_redef.mzn","data/qcp_max/qcp-25-264-2.dzn","Chuffed","","116.02","qcp_max","50"
"qcp_max","data/qcp_max/qcp_max_imp.mzn","data/qcp_max/test.dzn","Chuffed","","0.15","qcp_max","4"
"qcp_max","data/qcp_max/qcp_max_imp.mzn","data/qcp_max/qcp-15-120-9.dzn","Chuffed","","0.19","qcp_max","30"
"qcp_max","data/qcp_max/qcp_max_redef.mzn","data/qcp_max/qcp-15-120-13.dzn","Chuffed","","0.35","qcp_max","30"
"qcp_max","data/qcp_max/qcp_max_imp.mzn","data/qcp_max/qcp-10-67-9.dzn","Chuffed","","0.14","qcp_max","20"
"qcp_max","data/qcp_max/qcp_max_redef.mzn","data/qcp_max/qcp-10-67-6.dzn","Chuffed","","0.19","qcp_max","20"
"qcp_max","data/qcp_max/qcp_max_redef.mzn","data/qcp_max/qcp-10-67-0.dzn","Chuffed","","0.19","qcp_max","20"
"qcp_max","data/qcp_max/qcp_max_redef.mzn","data/qcp_max/qcp-15-120-11.dzn","Chuffed","","0.66","qcp_max","30"
"qcp_max","data/qcp_max/qcp_max_imp.mzn","data/qcp_max/qcp-15-120-2.dzn","Chuffed","","0.71","qcp_max","30"
"qcp_max","data/qcp_max/qcp_max_imp.mzn","data/qcp_max/qcp-10-67-2.dzn","Chuffed","","0.16","qcp_max","20"
"qcp_max","data/qcp_max/qcp_max_imp.mzn","data/qcp_max/qcp-15-120-0.dzn","Chuffed","","0.16","qcp_max","30"
"qcp_max","data/qcp_max/qcp_max_imp.mzn","data/qcp_max/qcp-10-67-10.dzn","Chuffed","","0.15","qcp_max","20"
"qcp_max","data/qcp_max/qcp_max_imp.mzn","data/qcp_max/qcp-25-264-0.dzn","Chuffed","","87.69","qcp_max","50"
"qcp_max","data/qcp_max/qcp_max_redef.mzn","data/qcp_max/qcp-20-187-0.dzn","Chuffed","","4.07","qcp_max","40"
"qcp_max","data/qcp_max/qcp_max_imp.mzn","data/qcp_max/qcp-10-67-3.dzn","Chuffed","","0.15","qcp_max","20"
"qcp_max","data/qcp_max/qcp_max_imp.mzn","data/qcp_max/qcp-25-264-8.dzn","Chuffed","","62.1","qcp_max","50"
"qcp_max","data/qcp_max/qcp_max_imp.mzn","data/qcp_max/qcp-15-120-5.dzn","Chuffed","","0.39","qcp_max","30"
"qcp_max","data/qcp_max/qcp_max_redef.mzn","data/qcp_max/qcp-10-67-4.dzn","Chuffed","","0.19","qcp_max","20"
"qcp_max","data/qcp_max/qcp_max_redef.mzn","data/qcp_max/qcp-20-187-8.dzn","Chuffed","","5.74","qcp_max","40"
"qcp_max","data/qcp_max/qcp_max_redef.mzn","data/qcp_max/qcp-10-67-9.dzn","Chuffed","","0.19","qcp_max","20"
"qcp_max","data/qcp_max/qcp_max_imp.mzn","data/qcp_max/qcp-20-187-8.dzn","Chuffed","","13.21","qcp_max","40"
"qcp_max","data/qcp_max/qcp_max_redef.mzn","data/qcp_max/qcp-15-120-10.dzn","Chuffed","","0.35","qcp_max","30"
"qcp_max","data/qcp_max/qcp_max_imp.mzn","data/qcp_max/qcp-15-120-3.dzn","Chuffed","","4.7","qcp_max","30"
"qcp_max","data/qcp_max/qcp_max_redef.mzn","data/qcp_max/qcp-15-120-0.dzn","Chuffed","","0.33","qcp_max","30"
"qcp_max","data/qcp_max/qcp_max_imp.mzn","data/qcp_max/qcp-15-120-1.dzn","Chuffed","","0.21","qcp_max","30"
"qcp_max","data/qcp_max/qcp_max_imp.mzn","data/qcp_max/qcp-20-187-9.dzn","Chuffed","","0.53","qcp_max","40"
"qcp_max","data/qcp_max/qcp_max_redef.mzn","data/qcp_max/test.dzn","Chuffed","","0.15","qcp_max","4"
"qcp_max","data/qcp_max/qcp_max_imp.mzn","data/qcp_max/qcp-15-120-6.dzn","Chuffed","","0.28","qcp_max","30"
"qcp_max","data/qcp_max/qcp_max_redef.mzn","data/qcp_max/qcp-25-264-8.dzn","Chuffed","","189.86","qcp_max","50"
"qcp_max","data/qcp_max/qcp_max_imp.mzn","data/qcp_max/qcp-25-264-6.dzn","Chuffed","","127.79","qcp_max","50"
"qcp_max","data/qcp_max/qcp_max_redef.mzn","data/qcp_max/qcp-20-187-9.dzn","Chuffed","","1.15","qcp_max","40"
"qcp_max","data/qcp_max/qcp_max_redef.mzn","data/qcp_max/qcp-20-187-5.dzn","Chuffed","","32.49","qcp_max","40"
"qcp_max","data/qcp_max/qcp_max_imp.mzn","data/qcp_max/qcp-10-67-12.dzn","Chuffed","","0.43","qcp_max","18"
"qcp_max","data/qcp_max/qcp_max_redef.mzn","data/qcp_max/qcp-15-120-1.dzn","Chuffed","","0.35","qcp_max","30"
"qcp_max","data/qcp_max/qcp_max_imp.mzn","data/qcp_max/qcp-15-120-13.dzn","Chuffed","","0.22","qcp_max","30"
"qcp_max","data/qcp_max/qcp_max_redef.mzn","data/qcp_max/qcp-15-120-3.dzn","Chuffed","","0.4","qcp_max","30"
"qcp_max","data/qcp_max/qcp_max_imp.mzn","data/qcp_max/qcp-10-67-5.dzn","Chuffed","","0.15","qcp_max","20"
"qcp_max","data/qcp_max/qcp_max_redef.mzn","data/qcp_max/qcp-20-187-1.dzn","Chuffed","","30.66","qcp_max","40"
"qcp_max","data/qcp_max/qcp_max_imp.mzn","data/qcp_max/qcp-15-120-8.dzn","Chuffed","","0.32","qcp_max","30"
"qcp_max","data/qcp_max/qcp_max_redef.mzn","data/qcp_max/qcp-25-264-5.dzn","Chuffed","","36.42","qcp_max","50"
"qcp_max","data/qcp_max/qcp_max_imp.mzn","data/qcp_max/qcp-20-187-3.dzn","Chuffed","","15.88","qcp_max","40"
"qcp_max","data/qcp_max/qcp_max_redef.mzn","data/qcp_max/qcp-10-67-8.dzn","Chuffed","","0.19","qcp_max","20"
"qcp_max","data/qcp_max/qcp_max_imp.mzn","data/qcp_max/qcp-25-264-2.dzn","Chuffed","","32.1","qcp_max","50"
"qcp_max","data/qcp_max/qcp_max_imp.mzn","data/qcp_max/qcp-20-187-2.dzn","Chuffed","","1.59","qcp_max","40"
"qcp_max","data/qcp_max/qcp_max_redef.mzn","data/qcp_max/qcp-10-67-11.dzn","Chuffed","","0.2","qcp_max","20"
"qcp_max","data/qcp_max/qcp_max_imp.mzn","data/qcp_max/qcp-10-67-8.dzn","Chuffed","","0.15","qcp_max","20"
"qcp_max","data/qcp_max/qcp_max_redef.mzn","data/qcp_max/qcp-25-264-0.dzn","Chuffed","","249.34","qcp_max","50"
"qcp_max","data/qcp_max/qcp_max_redef.mzn","data/qcp_max/qcp-15-120-8.dzn","Chuffed","","0.78","qcp_max","30"
"qcp_max","data/qcp_max/qcp_max_redef.mzn","data/qcp_max/qcp-15-120-4.dzn","Chuffed","","0.52","qcp_max","30"
"qcp_max","data/qcp_max/qcp_max_imp.mzn","data/qcp_max/qcp-20-187-0.dzn","Chuffed","","3.03","qcp_max","40"
"qcp_max","data/qcp_max/qcp_max_redef.mzn","data/qcp_max/qcp-15-120-9.dzn","Chuffed","","1.67","qcp_max","30"
"qcp_max","data/qcp_max/qcp_max_imp.mzn","data/qcp_max/qcp-20-187-13.dzn","Chuffed","","0.8","qcp_max","40"
"qcp_max","data/qcp_max/qcp_max_imp.mzn","data/qcp_max/qcp-10-67-7.dzn","Chuffed","","0.15","qcp_max","20"
"qcp_max","data/qcp_max/qcp_max_imp.mzn","data/qcp_max/qcp-20-187-7.dzn","Chuffed","","2.7","qcp_max","40"
"qcp_max","data/qcp_max/qcp_max_redef.mzn","data/qcp_max/qcp-15-120-7.dzn","Chuffed","","0.37","qcp_max","30"
"qcp_max","data/qcp_max/qcp_max_imp.mzn","data/qcp_max/qcp-10-67-6.dzn","Chuffed","","0.15","qcp_max","20"
"qcp_max","data/qcp_max/qcp_max_imp.mzn","data/qcp_max/qcp-20-187-12.dzn","Chuffed","","2.93","qcp_max","40"
"qcp_max","data/qcp_max/qcp_max_redef.mzn","data/qcp_max/qcp-20-187-13.dzn","Chuffed","","1.02","qcp_max","40"
"qcp_max","data/qcp_max/qcp_max_redef.mzn","data/qcp_max/qcp-10-67-5.dzn","Chuffed","","0.19","qcp_max","20"
"qcp_max","data/qcp_max/qcp_max_imp.mzn","data/qcp_max/qcp-10-67-14.dzn","Chuffed","","0.97","qcp_max","18"
"qcp_max","data/qcp_max/qcp_max_imp.mzn","data/qcp_max/qcp-15-120-10.dzn","Chuffed","","0.7","qcp_max","30"
"qcp_max","data/qcp_max/qcp_max_redef.mzn","data/qcp_max/qcp-20-187-7.dzn","Chuffed","","3.65","qcp_max","40"
"qcp_max","data/qcp_max/qcp_max_imp.mzn","data/qcp_max/qcp-20-187-5.dzn","Chuffed","","37.12","qcp_max","40"
"qcp_max","data/qcp_max/qcp_max_imp.mzn","data/qcp_max/qcp-15-120-7.dzn","Chuffed","","0.18","qcp_max","30"
"qcp_max","data/qcp_max/qcp_max_imp.mzn","data/qcp_max/qcp-20-187-10.dzn","Chuffed","","2.54","qcp_max","40"
"qcp_max","data/qcp_max/qcp_max_redef.mzn","data/qcp_max/qcp-20-187-12.dzn","Chuffed","","221.32","qcp_max","40"
"qcp_max","data/qcp_max/qcp_max_redef.mzn","data/qcp_max/qcp-15-120-6.dzn","Chuffed","","0.57","qcp_max","30"
"qcp_max","data/qcp_max/qcp_max_redef.mzn","data/qcp_max/qcp-10-67-7.dzn","Chuffed","","0.2","qcp_max","20"
"qcp_max","data/qcp_max/qcp_max_redef.mzn","data/qcp_max/qcp-10-67-1.dzn","Chuffed","","0.18","qcp_max","20"
"qcp_max","data/qcp_max/qcp_max_imp.mzn","data/qcp_max/qcp-20-187-1.dzn","Chuffed","","0.92","qcp_max","40"
"qcp_max","data/qcp_max/qcp_max_redef.mzn","data/qcp_max/qcp-10-67-14.dzn","Chuffed","","44.32","qcp_max","18"
"qcp_max","data/qcp_max/qcp_max_imp.mzn","data/qcp_max/qcp-10-67-1.dzn","Chuffed","","0.15","qcp_max","20"
"qcp_max","data/qcp_max/qcp_max_redef.mzn","data/qcp_max/qcp-15-120-2.dzn","Chuffed","","0.9","qcp_max","30"
"qcp_max","data/qcp_max/qcp_max_imp.mzn","data/qcp_max/qcp-20-187-4.dzn","Chuffed","","6.23","qcp_max","40"
"qcp_max","data/qcp_max/qcp_max_imp.mzn","data/qcp_max/qcp-20-187-6.dzn","Chuffed","","3.1","qcp_max","40"
"qcp_max","data/qcp_max/qcp_max_imp.mzn","data/qcp_max/qcp-10-67-11.dzn","Chuffed","","0.15","qcp_max","20"
"qcp_max","data/qcp_max/qcp_max_redef.mzn","data/qcp_max/qcp-20-187-4.dzn","Chuffed","","6.09","qcp_max","40"
"qcp_max","data/qcp_max/qcp_max_redef.mzn","data/qcp_max/qcp-20-187-2.dzn","Chuffed","","21.7","qcp_max","40"
"qcp_max","data/qcp_max/qcp_max_imp.mzn","data/qcp_max/qcp-10-67-0.dzn","Chuffed","","0.15","qcp_max","20"
"qcp_max","data/qcp_max/qcp_max_redef.mzn","data/qcp_max/qcp-15-120-5.dzn","Chuffed","","0.63","qcp_max","30"
"qcp_max","data/qcp_max/qcp_max_imp.mzn","data/qcp_max/qcp-15-120-4.dzn","Chuffed","","0.3","qcp_max","30"
"qcp_max","data/qcp_max/qcp_max_redef.mzn","data/qcp_max/qcp-10-67-2.dzn","Chuffed","","0.18","qcp_max","20"
"qcp_max","data/qcp_max/qcp_max_redef.mzn","data/qcp_max/qcp-25-264-6.dzn","Chuffed","","133.83","qcp_max","50"
"qcp_max","data/qcp_max/qcp_max_imp.mzn","data/qcp_max/qcp-25-264-5.dzn","Chuffed","","8.74","qcp_max","50"
"qcp_max","data/qcp_max/qcp_max_redef.mzn","data/qcp_max/qcp-20-187-10.dzn","Chuffed","","23.86","qcp_max","40"
"qcp_max","data/qcp_max/qcp_max_redef.mzn","data/qcp_max/qcp-25-264-7.dzn","Chuffed","","165.98","qcp_max","50"
"qcp_max","data/qcp_max/qcp_max_redef.mzn","data/qcp_max/qcp-10-67-3.dzn","Chuffed","","0.2","qcp_max","20"
"qcp_max","data/qcp_max/qcp_max_imp.mzn","data/qcp_max/qcp-20-187-14.dzn","Chuffed","","0.28","qcp_max","40"
"qcp_max","data/qcp_max/qcp_max_redef.mzn","data/qcp_max/qcp-20-187-6.dzn","Chuffed","","15.7","qcp_max","40"
